Weekly U.S. Product Supplied of Finished Motor Gasoline,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFUPUS2&f=W,
18:16:00 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
5/19/2000,8408
5/12/2000,8242
5/5/2000,8679
4/28/2000,8302
4/21/2000,8616
4/14/2000,8557
4/7/2000,8655
3/31/2000,7896
3/24/2000,8384
3/17/2000,8201
3/10/2000,8662
3/3/2000,7608
2/25/2000,8072
2/18/2000,8524
2/11/2000,8375
2/4/2000,7642
1/28/2000,8385
1/21/2000,7919
1/14/2000,7543
1/7/2000,7907
12/31/1999,8851
12/24/1999,8590
12/17/1999,8638
12/10/1999,8557
12/3/1999,7670
11/26/1999,8416
11/19/1999,8404
11/12/1999,8416
11/5/1999,8333
10/29/1999,8532
10/22/1999,8521
10/15/1999,8406
10/8/1999,8433
10/1/1999,8557
9/24/1999,8865
9/17/1999,8504
9/10/1999,8593
9/3/1999,8778
8/27/1999,8810
8/20/1999,8415
8/13/1999,8519
8/6/1999,8644
7/30/1999,8537
7/23/1999,8639
7/16/1999,8622
7/9/1999,8679
7/2/1999,9076
6/25/1999,9045
6/18/1999,8522
6/11/1999,8827
6/4/1999,8193
5/28/1999,8401
5/21/1999,8275
5/14/1999,8761
5/7/1999,8059
4/30/1999,7825
4/23/1999,8923
4/16/1999,8066
4/9/1999,7878
4/2/1999,7959
3/26/1999,8337
3/19/1999,8367
3/12/1999,8451
3/5/1999,8273
2/26/1999,8316
2/19/1999,7948
2/12/1999,8756
2/5/1999,7532
1/29/1999,7866
1/22/1999,8186
1/15/1999,7810
1/8/1999,7385
1/1/1999,8519
12/25/1998,8153
12/18/1998,8588
12/11/1998,8314
12/4/1998,8162
11/27/1998,8313
11/20/1998,8381
11/13/1998,7711
11/6/1998,8195
10/30/1998,8360
10/23/1998,8099
10/16/1998,8049
10/9/1998,8797
10/2/1998,8058
9/25/1998,8359
9/18/1998,7873
9/11/1998,8722
9/4/1998,8713
8/28/1998,8607
8/21/1998,8288
8/14/1998,8981
8/7/1998,8317
7/31/1998,8997
7/24/1998,8125
7/17/1998,8749
7/10/1998,8234
7/3/1998,8755
6/26/1998,8644
6/19/1998,8160
6/12/1998,8103
6/5/1998,8312
5/29/1998,8205
5/22/1998,8337
5/15/1998,8524
5/8/1998,7503
5/1/1998,8190
4/24/1998,8118
4/17/1998,8303
4/10/1998,8031
4/3/1998,8992
3/27/1998,7996
3/20/1998,7753
3/13/1998,8103
3/6/1998,7744
2/27/1998,7662
2/20/1998,8005
2/13/1998,8201
2/6/1998,7673
1/30/1998,7670
1/23/1998,7940
1/16/1998,7779
1/9/1998,7673
1/2/1998,7832
12/26/1997,8201
12/19/1997,8151
12/12/1997,7955
12/5/1997,8437
11/28/1997,7578
11/21/1997,8043
11/14/1997,7793
11/7/1997,8025
10/31/1997,8355
10/24/1997,7741
10/17/1997,8315
10/10/1997,8221
10/3/1997,8379
9/26/1997,8140
9/19/1997,7746
9/12/1997,8215
9/5/1997,8053
8/29/1997,8695
8/22/1997,7922
8/15/1997,8539
8/8/1997,8253
8/1/1997,8290
7/25/1997,8600
7/18/1997,8595
7/11/1997,8606
7/4/1997,8489
6/27/1997,8234
6/20/1997,8557
6/13/1997,8009
6/6/1997,7590
5/30/1997,8154
5/23/1997,8088
5/16/1997,8253
5/9/1997,7765
5/2/1997,8224
4/25/1997,7922
4/18/1997,7914
4/11/1997,7791
4/4/1997,8115
3/28/1997,7492
3/21/1997,7729
3/14/1997,8125
3/7/1997,7417
2/28/1997,7779
2/21/1997,8011
2/14/1997,7530
2/7/1997,7013
1/31/1997,7125
1/24/1997,7265
1/17/1997,7408
1/10/1997,7440
1/3/1997,7122
12/27/1996,7740
12/20/1996,8051
12/13/1996,8355
12/6/1996,7706
11/29/1996,7370
11/22/1996,7883
11/15/1996,8073
11/8/1996,7804
11/1/1996,7682
10/25/1996,7991
10/18/1996,7958
10/11/1996,7637
10/4/1996,7935
9/27/1996,7619
9/20/1996,8000
9/13/1996,7537
9/6/1996,7843
8/30/1996,8369
8/23/1996,8364
8/16/1996,7818
8/9/1996,7722
8/2/1996,8279
7/26/1996,8067
7/19/1996,8152
7/12/1996,7968
7/5/1996,8015
6/28/1996,8563
6/21/1996,7956
6/14/1996,7957
6/7/1996,7946
5/31/1996,7836
5/24/1996,8080
5/17/1996,7512
5/10/1996,8267
5/3/1996,7592
4/26/1996,8079
4/19/1996,7433
4/12/1996,7804
4/5/1996,7280
3/29/1996,7568
3/22/1996,7900
3/15/1996,7757
3/8/1996,7877
3/1/1996,7338
2/23/1996,7826
2/16/1996,7868
2/9/1996,7520
2/2/1996,7513
1/26/1996,7393
1/19/1996,6949
1/12/1996,7513
1/5/1996,7958
12/29/1995,7035
12/22/1995,8115
12/15/1995,7489
12/8/1995,7949
12/1/1995,7439
11/24/1995,7840
11/17/1995,8021
11/10/1995,8477
11/3/1995,7449
10/27/1995,8103
10/20/1995,7712
10/13/1995,7879
10/6/1995,8106
9/29/1995,7257
9/22/1995,7821
9/15/1995,8249
9/8/1995,8078
9/1/1995,7825
8/25/1995,8206
8/18/1995,8411
8/11/1995,7628
8/4/1995,8402
7/28/1995,8213
7/21/1995,8483
7/14/1995,7866
7/7/1995,7996
6/30/1995,8238
6/23/1995,8489
6/16/1995,7971
6/9/1995,8055
6/2/1995,8460
5/26/1995,7797
5/19/1995,8183
5/12/1995,8052
5/5/1995,7539
